epoch,train_loss,train_err,test_err
0,1.3410437107086182,0.4902,0.4971
1,0.836105465888977,0.4028,0.4173
2,0.814022421836853,0.30206,0.3053
3,0.6571580171585083,0.27876,0.2909
4,0.5656740665435791,0.24536,0.2519
5,0.31192082166671753,0.20632,0.2192
6,0.5908504128456116,0.22964,0.2447
7,0.35058534145355225,0.22314,0.2484
8,0.6169886589050293,0.2315,0.2539
9,0.559963583946228,0.19366,0.2196
10,0.49972572922706604,0.17862,0.2058
11,0.4523652195930481,0.1644,0.196
12,0.4635063707828522,0.20302,0.2235
13,0.2802644670009613,0.17836,0.2008
14,0.5992051959037781,0.16576,0.1886
15,0.5521392822265625,0.12914,0.1544
16,0.28824156522750854,0.1418,0.1726
